"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"244","RT @lopamudra309: #Infy  CEO Vishal Sikka resigns ...#Infosys 

and I am resigning #Twitter  <ed><U+00A0><U+00BD><ed><U+00B9><U+008B>",FALSE,0,NA,2017-08-19 17:33:34,FALSE,NA,"898961149277782016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sahilsekh9478",24,TRUE,FALSE,NA,NA
"245","RT @lopamudra309: #Infy  CEO Vishal Sikka resigns ...#Infosys 

and I am resigning #Twitter  <ed><U+00A0><U+00BD><ed><U+00B9><U+008B>",FALSE,0,NA,2017-08-19 17:19:50,FALSE,NA,"898957694974935040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","puneetp54741751",24,TRUE,FALSE,NA,NA
"246","#OneIndiaOneGST <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>  Artificial Intelligence and robotics: Will exit affect Infy's tech edge?... https://t.co/TjVfh1l7lh",FALSE,0,NA,2017-08-19 17:15:52,FALSE,NA,"898956692922048512",NA,"<a href=""https://www.newswallet.co/"" rel=""nofollow"">News-Wallet-App - Android</a>","rohit366online",0,FALSE,FALSE,NA,NA
"247","#OneIndiaOneGST <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>  Artificial Intelligence and robotics: Will exit affect Infy's tech edge?... https://t.co/TqGUWIzki3",FALSE,0,NA,2017-08-19 17:10:07,FALSE,NA,"898955246671511553",NA,"<a href=""https://www.newswallet.co/"" rel=""nofollow"">News-Wallet-App - Android</a>","skkutubuddin86",0,FALSE,FALSE,NA,NA
"248","#OneIndiaOneGST <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>  Artificial Intelligence and robotics: Will exit affect Infy's tech edge?... https://t.co/FR2f2U1AAv",FALSE,0,NA,2017-08-19 17:09:13,FALSE,NA,"898955021512921088",NA,"<a href=""https://www.newswallet.co/"" rel=""nofollow"">News-Wallet-App - Android</a>","RajputRisk",0,FALSE,FALSE,NA,NA
"249","@Infosys_nmurthy Sir always coming out to media and lashing the Infy Board and the stock price going down is hurting retail investors.",FALSE,1,"Infosys_nmurthy",2017-08-19 17:07:01,FALSE,"763219228459569152","898954466786922497","81339834","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anoop_100",1,FALSE,FALSE,NA,NA
"250","RT @lopamudra309: #Infy  CEO Vishal Sikka resigns ...#Infosys 

and I am resigning #Twitter  <ed><U+00A0><U+00BD><ed><U+00B9><U+008B>",FALSE,0,NA,2017-08-19 16:55:33,FALSE,NA,"898951582712188928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","H_hindustani",24,TRUE,FALSE,NA,NA
"251","#OneIndiaOneGST <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>  Artificial Intelligence and robotics: Will exit affect Infy's tech edge?... https://t.co/zZviTo2gzI",FALSE,0,NA,2017-08-19 16:54:14,FALSE,NA,"898951250116345856",NA,"<a href=""https://www.newswallet.co/"" rel=""nofollow"">News-Wallet-App - Android</a>","yadav_haran",0,FALSE,FALSE,NA,NA
"252","#InfosysCrisis @Infosys_nmurthy 2 INFY tum agar meri nahin ho sakti toh tumhen kisi aur ki bhi hone nahin doonga!! <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BD><ed><U+00B1><U+008E>",FALSE,0,NA,2017-08-19 16:53:35,FALSE,NA,"898951087901753344",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Biased_Advice",0,FALSE,FALSE,NA,NA
"253","RT @DeependerSHooda: As one who started out as Software Engineer at @Infosys, I feel sad at ongoing. Infy needs to preserve what it stood f…",FALSE,0,NA,2017-08-19 16:53:30,FALSE,NA,"898951065852231680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vijay_S_poonia",125,TRUE,FALSE,NA,NA
